# TRADUCCIÓN DE STAR WARS CONQUEST - ESPAÑOL
# CREADO POR SWYTER, TODOS LOS DERECHOS RESERVADOS.
# CONTACTO: MANDA UN MENSAJE PERSONAL EN FORUMS.TALEWORLDS.COM A "SWYTER"

str_no_string|NO STRING!
str_bar_content|              Content
str_bar_weary|          Weary
str_bar_disgruntled|     Disgruntled
str_bar_miserable|  Miserable
str_here_plus_space|here 
str_npc1_intro|Well, look what we have here.  Another mercenary, here in this great big galaxy, caught between the Empire and the Rebellion, just trying to make a buck and stay alive.  Look, I saw you sizing me up from the moment you walked in here, and I've got enough experience to know that means you're either about to fight me or hire me.
str_npc2_intro|Sí?  How might this old man help you?
str_npc3_intro|Why, hello there!
str_npc4_intro|You're a captain right?  I saw your ship land.  She's a nice piece of work, cap'n, but that was one of the clumsiest landings I've ever seen.  I've got a proposition if you've got the time.
str_npc5_intro|Greetings, spacefarer. Would you join me for a drink?
str_npc6_intro|Want a drink?  Of course you want a drink, you're in a cantina.  Here, friend, my treat. I just won a thousand credits playing pazaak against a particularly stupid Gamorrean.  Though here's a hint: when a piggy's dealing, say 'give me another card' instead of 'hit me.'
str_npc7_intro|Excuse me, are you a captain?  Could I have a moment with you?
str_npc8_intro|Drop your weapon.  You're under arrest.
str_npc9_intro|No, you may not take a holovid of yourself with me.  Just be glad you saw the face of Arvis Xen with your own eyes, and leave me be.
str_npc10_intro|A toast to war, to blood, to the thrill of unending combat!
str_npc11_intro|Please. You're an offworlder, I can tell from your voice. I haven't much time. The slavers are ruthless, and they stop at nothing to catch and punish escapees. One of us flayed and strung up keeps a hundred from escaping, they think.
str_npc12_intro|So you're an actual captain of a real ship, huh?
str_npc13_intro|Greetings, friend! Can I interest you in a bona-fide, lab-tested, sure-fire Kashyyyk drop bear repellant?  Very dangerous, drop bears are.  Without repellant, you're just begging for a drop bear to come down on your head.
str_npc14_intro|¿Sí? ¿Cual es tu deseo?
str_npc15_intro|Hola por aquí. ¿Te importaría compartir una bebida conmigo?
str_npc16_intro|Bien, ¿Acaso no es interesante?
str_npc17_intro|..........
str_npc18_intro|..........
str_npc1_intro_response_1|Tu eres uno afilado.
str_npc2_intro_response_1|Tú... la fuerza es fuerte en tí.
str_npc3_intro_response_1|Eh, hola.  No das el tipo precisamente.
str_npc4_intro_response_1|Perhaps. What manner of proposition?
str_npc5_intro_response_1|Certainly.
str_npc6_intro_response_1|Thanks.  What's your story?
str_npc7_intro_response_1|Sí, ¿Que pasa?
str_npc8_intro_response_1|You don't even have a blaster.  Why should I?
str_npc9_intro_response_1|Lo siento, ¿Quien dijiste que eras?
str_npc10_intro_response_1|¡A la Guerra!
str_npc11_intro_response_1|Nonsense, human slavery has been illegal for centuries.
str_npc12_intro_response_1|Sí, lo soy?
str_npc13_intro_response_1|Please. Does anyone fall for that?
str_npc14_intro_response_1|To pass the time of day with a fellow traveller, if you permit.
str_npc15_intro_response_1|Certainly, sir. With whom do I have the pleasure?
str_npc16_intro_response_1|Eh, ¿Que es interesante?
str_npc17_intro_response_1|Encender el droide.
str_npc18_intro_response_1|Encender el droide.
str_npc1_intro_response_2|Has olvidado la tercera opción: ignorarte.
str_npc2_intro_response_2|Nothing, never mind.
str_npc3_intro_response_2|Run along now, girl. I have work to do.
str_npc4_intro_response_2|Get out of here, sleemo.
str_npc5_intro_response_2|I have no time for that.
str_npc6_intro_response_2|I don't take drinks from people I don't know.
str_npc7_intro_response_2|Perdona, pero estoy ocupado.
str_npc8_intro_response_2|Tienes que estar de broma. Apártatae y dejame sitio.
str_npc9_intro_response_2|How pompous.  Get away from me.
str_npc10_intro_response_2|Yo no pienso hacer eso.
str_npc11_intro_response_2|I haven't much time either. Get out of my sight.
str_npc12_intro_response_2|That is none of your business.
str_npc13_intro_response_2|Get out of here before I call the port authorities on you.
str_npc14_intro_response_2|No es nada. Perdóname.
str_npc15_intro_response_2|No, gracias.
str_npc16_intro_response_2|No es lo suficientemente interesante.
str_npc17_intro_response_2|Dejar el droide en paz.
str_npc17_intro_response_2|Dejar el droide en paz.
str_npc1_backstory_a|Sharper than you know.  I've got some abilities few people have.  Abilities that cost more than your average merc's skill set.  Judging from the way you carry yourself, I think you know what I mean by that.
str_npc2_backstory_a|Oh, is it now?  I must be getting sloppy in my old age. I thought I could hide my identity.  But if a whelp like you can sense me, that means the Emperor's Jedi hunters can sense me from a parsec away right now.
str_npc3_backstory_a|Well, not yet I'm not!
str_npc4_backstory_a|I'm a pilot-navigator, and one of the best you'll see.  I can lay down hyperspace routes that hug gravity wells like a tight dress on a Twi'lek dancer.  I can make a bulk freighter maneuver like a TIE fighter.
str_npc5_backstory_a|I am a gladiator, recently retired, having amassed a respectable 324-62 record in the pits of Gamorr.  Now I am seeing the galaxy I entertained for so long.  I travel from star system to star system, telling of my exploits and watching fights without the pressure of knowing that I will have to go against the winner.  It really is quite relaxing.
str_npc6_backstory_a|My story? I'm a Corellian through and through.  I joined up with CorSec like my daddy before me.  My first raid, on a spice smuggling ring, went bad fast.  I took a stunner to the chest, and when I came to I was stashed with a bunch of my dead mates in a holding room.
str_npc7_backstory_a|Ah. Sí.  Thank you.
str_npc8_backstory_a|I am a bounty hunter, and you are my bounty!  ...wait, I don't have my blaster?  Oh, this will never do, it will never do.  How frustrating!
str_npc9_backstory_a|Surely you have heard of the wronged heir to the great Xen fortune!  Or if not, then you have heard my many swoop-racing triumphs, and have seen all competitors humiliated by my speed and my reflexes!  Or perhaps you are one of the millions to have lost your love's true affections once she gazed upon an image of my perfect face.
str_npc10_backstory_a|Ahaha. Not often you'll see a captain who sees this galaxy the right way. So many just say, 'oh, I hope for peace.' Peace isn't the reason for this universe, any more than repairs are the reason we have ships. We exist to fight, and peace is only good for preparing ourselves for the next day's struggle!
str_npc11_backstory_a|I'm proof you're wrong. Sure, the Republic banned it, and the Empire doesn't allow it either. But the Empire doesn't hold the whole galaxy, and the sad little secret is that in a great number of its planets, the Galactic Empire stops where the spaceport ends. This galaxy is run by crime lords, with a thin coat of Imperial grey to pretty it up for the rich.
str_npc12_backstory_a|Imagine my luck! I've only been in the spaceport a day and already I've met a real captain in flesh and blood!
str_npc13_backstory_a|Hey, you'd be surprised. With all the crazy stuff in this galaxy, half the people you meet will believe anything you tell 'em. After all, who's got time to visit every single planet to prove you wrong?  Heck, for all I know drop bears really do exist somewhere, and this spray can of water really does repel 'em.  It's not a lie if it might be true, eh?
str_npc14_backstory_a|Very well. I do not mind.
str_npc15_backstory_a|I'm a librarian, plain and simple. Such is my trade, though I regret I have not had a chance to practice my trade in decades.
str_npc16_backstory_a|Usually when a person talks to me, it's either because he is going to pay me to kill someone, because someone else has already paid me to kill him and he is begging me not to, or because he is very stupid and does not know exactly how dangerous it is to waste my time.
str_npc17_backstory_a|Hola, Maestro.
str_npc18_backstory_a|Hola, Maestro.
str_npc1_backstory_b|Maybe a hundred years ago, we'd have been classmates on Coruscant.  But the galaxy's a different place now, and there are different rules.  There's no good guys; there's just guys who'll shoot you and guys who'll pay you to shoot other guys.  I came to realize that's the galaxy I live in.
str_npc2_backstory_b|I was a Jedi and a general of the Republic during the Clone Wars.  I fought the Empire tooth and nail, but soon I realized I was in too deep.  I went into hiding, and I've done a good job of it for a long time.  But you made me realize I can't hide much longer.
str_npc3_backstory_b|I am a Jedi!  Well, I'm not really a Jedi.  In fact, I'm not entirely sure if I am anything of the sort at all.  But I do know that if I concentrate very hard on something, I think I can make it move.  I've spent a whole year practicing very hard.
str_npc4_backstory_b|I joined the Empire like any good pilot.  234th TIE wing, designation DN-32-J.  Turns out, though, they just wanted to stick me in a backwater somewhere and make me fly boring non-stop patrols, scanning space dust hour and hour.  So I skipped out on my first R&R furlough, and went looking for a ticket back to the real action.
str_npc5_backstory_b|Sí, I had been a gladiator until recently.  But recently, a man entered a cantina on the other side of the spaceport, and claimed he could fight and beat anyone.  I informed him, politely but firmly, that he was mistaken.  He swung his fist at me.  I punched him sharply in the chest, and he fell dead, his heart stopped cold. I am sure it was no murder, for I acted in self-defense.  However, the man was the son of the local security chief.
str_npc6_backstory_b|After my capture, I saw opportunity.  I dumped my uniform, swapped clothes and ID with a dead smuggler, filled my pack with glitterstim, and set off.  That spice bought a pretty penny, and I've been drinking, gambling, and brawling across the galaxy ever since.
str_npc7_backstory_b|I am Jade Codi, wife of Sothan Codi, Senator from Fondor.  Well, he was the Senator from Fondor, way back when.  I thought political life and old rivalries were behind us, but apparently an old unsettled score with a local crime lord finally caught up with us.  Sothan's dead now, and so I went into hiding.
