dlga_start:member_talk|¿Sí?
dlga_pretender_start:pretender_discuss_rebellion_1|I want to take up your cause and help you reclaim your throne!
dlga_pretender_start:pretender_end|I must leave now.
dlga_pretender_discuss_rebellion_1:pretender_discuss_rebellion_2|Are you sure you will be up to the task, {playername}? Reclaiming my throne will be no simple matter. The lords of our realm have all sworn oaths of homage to {s11}. Such oaths to a usurper are of course invalid, and we can expect some of the lords to side with us, but it will be a very tough and challenging struggle ahead.
dlga_pretender_discuss_rebellion_2:pretender_discuss_rebellion_3|I am ready for this struggle.
dlga_pretender_discuss_rebellion_2:pretender_end|You are right. Perhaps, I should think about this some more.
dlga_pretender_discuss_rebellion_3:close_window|I have no doubt that your support for my cause is heartfelt, {playername}, and I am grateful to you for it. But I don't think we have much of a chance of success. If you can gain renown in the battlefield and make a name for yourself as a great commander, then our friends would not hesitate to join our cause, and our enemies would be wary to take up arms against us. When that time comes, I will come with you gladly. But until that time, it will be wiser not to openly challange the usurper, {s11}.
dlga_pretender_discuss_rebellion_3:close_window.1|Haven't you already taken up the cause of {s17}? You must have a very strong sense of justice, indeed. But no, thanks. I will not be part of your game.
dlga_pretender_discuss_rebellion_3:close_window.2|{playername}, you are already oath-bound to serve {s15}. As such, I cannot allow you to take up my cause, and let my enemies claim that I am but a mere puppet of {s16}. No, if I am to have the throne of {s17}, I must do it due to the righteousness of my cause and the support of my subjects alone. If you want to help me, you must first free yourself of your oath to {s15}.
dlga_pretender_discuss_rebellion_3:pretender_rebellion_ready|You are a capable warrior, {playername}, and I am sure with your renown as a commander, and my righteous cause, the nobles and the good people of {s12} will flock to our support. The time is ripe for us to act! I will come with you, and together, we will topple the usurper {s11} and take the throne from his bloodied hands. But first, you must give me your oath of homage and accept me as your liege {reg65?lady:lord}.
dlga_pretender_discuss_rebellion:pretender_town_quest|[Before we rebel, I want you to raise support for my cause. I have always had strong backing from the planet of {s4}, but you may have good ties in other places. Are you up for that?]
dlga_pretender_discuss_rebellion:pretender_town_quest.1|[Before we rebel, I want you to raise support for my cause. If you have good ties with any planets, you should try there. Are you up for that?]
dlga_pretender_discuss_rebellion:pretender_start|[Circumstances aren't really right for a rebellion right now. Let us lay low for a while]
dlga_pretender_discuss_rebellion:pretender_start.1|[You have laid the groundwork for a rebellion, but you are affiliated with another liege]
dlga_pretender_discuss_rebellion:pretender_rebellion_ready|You have done good work. {s4} and possibly other planets are ready to rebel. Whenever you are ready, let us ride forth to war.
dlga_pretender_rebellion_ready:lord_give_oath_2|I am ready to pledge myself to your cause, {reg3?my lady:sir}.
dlga_pretender_rebellion_ready:pretender_end|Let us bide our time a little longer.
dlga_lord_give_conclude_2:close_window|Forward, then! Our first task is to take hold of a fortress and persuade other lords to join us. You lead the way!
dlga_pretender_town_quest:pretender_discuss_rebellion|[Abracadabra - the planet is ready]
dlga_pretender_town_quest:pretender_end|[Not interested, thanks]
dlga_pretender_end:close_window|Farewell for now, then.
dlga_start:lord_event_choose_friend|I heard that you have befriended that {s43} called {s6}. Believe me, you can't trust them,  you should end all contact with that person.
dlga_lord_event_choose_friend:lord_event_choose_friend_renounce|I assure you, {s65}, I am no friend of {s6}.
dlga_lord_event_choose_friend_renounce:lord_pretalk|Glad news, {playername}. I would fear for your safety otherwise. If you do encounter {s6}, be on your guard and don't believe a word.
dlga_lord_event_choose_friend:lord_event_choose_friend_defend|{s6} is an honourable person, you've no right to speak of them that way.
dlga_lord_event_choose_friend_defend:lord_pretalk|As you like, {playername}. A fool you might be, but a loyal fool at the least. {s6}'s loyalty may not be so steadfast, however...
dlga_lord_event_choose_friend:lord_event_choose_friend_neutral|I don't want to be involved in your quarrel with {s6}.
dlga_lord_event_choose_friend_neutral:lord_pretalk|Hmph. As you wish, {playername}. Just remember that a {man/woman} needs friends in this world, and you'll never make any if you never stand with anyone.
dlga_start:lord_invite_1|{playername}, I've been expecting you. Word has reached my ears of your exploits. Why, I keep hearing such tales of prowess and bravery that my mind was quickly made up. I knew that I had found someone worthy of becoming my vassal.
dlga_lord_invite_1:lord_invite_2|Thank you, {s65}, you honour me with your offer.
dlga_lord_invite_1:lord_invite_2.1|It is good to have my true value recognised.
dlga_lord_invite_2:lord_invite_3|Aye. Let us dispense with the formalities, {playername}; are you ready to swear homage to me?
dlga_lord_invite_3:lord_give_oath_2|Yes, {s65}.
dlga_lord_invite_3:lord_enter_service_reject|No, {s65}. I cannot serve you right now.
dlga_start:lord_start|If it isn't my brave champion, {playername}...
dlga_start:lord_start.1|Good to see you again {playername}...
dlga_start:lord_start.2|We meet again, {playername}...
dlga_start:lord_meet_neutral|Do I know you?
dlga_lord_meet_neutral:lord_intro|I am {playername}.
dlga_lord_meet_neutral:lord_intro.1|My name is {playername}. At your service sir.
dlga_lord_intro:lord_start|{s11}
dlga_start:lord_meet_enemy|{s43}
dlga_lord_meet_enemy:lord_intro|I am {playername}, {s65}.
dlga_lord_meet_enemy:lord_intro.1|They know me as {playername}. Mark it down, you shall be hearing of me a lot.
dlga_start:lord_start.3|Well, {playername}...
dlga_lord_start:lord_start|{s42}
dlga_lord_start:lord_generic_mission_completed|Your surgeon managed to convince my friend and made the operation.  The matter is in God's hands now,, and all we can do is pray for his recovery. Anyway, I thank you for lending your surgeon to me {sir/madam}. You have a noble spirit. I will not forget it.
dlga_lord_start:lord_generic_mission_completed.1|Hah! Our little plot against {s3} worked perfectly, {playername}. The fool has lost one of their most valuable retainers, and we are one step closer to bringing them to their knees. Here, this purse contains {reg5} credits, and I wish you to have it. You deserve every copper. And, need I remind you, there could be much more to come if you've a mind to earn it...
dlga_lord_start:close_window|You werent't able to complete a simple task. I had set up everything. The only thing you needed to do was sacrifice a messenger, and we would be celebrating now. But no, you were too damned honorable, weren't you?
dlga_lord_start:quest_meet_spy_in_enemy_town_completed|Have you brought me any news about that task I gave you? You know the one I mean...
dlga_quest_meet_spy_in_enemy_town_completed:quest_meet_spy_in_enemy_town_completed_2|I have the reports you wanted right here.
dlga_quest_meet_spy_in_enemy_town_completed_2:lord_pretalk|Ahh, well done. It's good to have competent {men/people} on my side. Here is the payment I promised you.
dlga_lord_start:lord_pretalk|Brilliant work, {playername}! Your caravan raids really got their attention, I must say. I've just received word that {s13} has declared war! Now the time has come for us to reap the benefits of our hard work, {playername}. And by that I of course mean taking and plundering {s13} land! This war is going to make us rich {men/souls}, mark my words!
dlga_lord_start:lord_pretalk.1|You incompetent buffoon! What in Hell made you think that getting yourself captured while trying to start a war was a good idea? These plans took months to prepare, and now everything's been ruined! I will not forget this, {playername}. Oh, be assured that I will not.
dlga_lord_start:lord_collect_debt_completed|I'm told that you've collected the money owed me from {s7}. Good, it's past time I had it back. I believe I promised to give you one-fifth of it all, eh? Well, that makes {reg3} credits, so if you give me my share -- that's {reg4} credits -- you can keep the rest.
dlga_lord_collect_debt_completed:lord_collect_debt_pay|Of course, {s65}. {reg4} credits, all here.
dlga_lord_collect_debt_pay:lord_pretalk|I must admit I'm impressed, {playername}. I had lost hope of ever getting this money back. Please accept my sincere thanks.
dlga_lord_collect_debt_completed:lord_collect_debt_no_pay|I am afraid I don't have the money with me sir.
dlga_lord_collect_debt_no_pay:close_window|Is this a joke? I know full well that {s7} gave you the money, and I want every denar owed to me, {sir/madam}. As far as I'm concerned, I hold you personally in my debt until I see that silver.
dlga_lord_start:close_window.1|I heard you got rid of that poxy merchant that was causing me so much grief. I can see you're not afraid to get your hands dirty, eh? I like that in a {man/woman}. Here's your reward. Remember, {playername}, stick with me and we'll go a long, long way together.
dlga_lord_start:close_window.2|Oh, it's you. Enlighten me, how exactly does one lose a simple fight to some poxy, lowborn merchant? Truly, if I ever need my guardsmen to take a lesson in how to lay down and die, I'll be sure to come to you. Just leave me be, {playername}, I have things to do.
dlga_lord_start:lord_kill_local_merchant_let_go|You! Do you have sawdust between your ears? Did you think that when I said to kill the merchant, I meant you to have a nice chat with him and then let him go?! What possessed you?
dlga_lord_kill_local_merchant_let_go:lord_kill_local_merchant_let_go_2|I made sure he will not act against you.
dlga_lord_kill_local_merchant_let_go_2:lord_pretalk|Piffle. You were supposed to remove him, not give him a sermon and send him on his way. He had better do as you say, or you'll both regret it. Here, this is half the money I promised you. Don't say a word, {playername}, you're lucky to get even that. I have little use for {men/people} who cannot follow orders.
